name,wager,wager_count,player_hands
Andy,4,2,"{'WOPR': [5, 5, 1], 'Andy': [1, 1, 3, 6], 'Hal': [6, 3], 'Allice': [1, 2, 2, 1]}"
Hal,6,2,"{'Andy': [1, 1, 3, 6], 'Hal': [6, 3], 'Allice': [1, 2, 2, 1], 'WOPR': [5, 5, 1]}"
Allice,2,3,"{'Hal': [6, 3], 'Allice': [1, 2, 2, 1], 'WOPR': [5, 5, 1], 'Andy': [1, 1, 3, 6]}"
WOPR,5,3,"{'Allice': [1, 2, 2, 1], 'WOPR': [5, 5, 1], 'Andy': [1, 1, 3, 6], 'Hal': [6, 3]}"
Andy,1,4,"{'WOPR': [5, 5, 1], 'Andy': [1, 1, 3, 6], 'Hal': [6, 3], 'Allice': [1, 2, 2, 1]}"
Hal,6,4,"{'Andy': [1, 1, 3, 6], 'Hal': [6, 3], 'Allice': [1, 2, 2, 1], 'WOPR': [5, 5, 1]}"
Allice,2,5,"{'Hal': [6, 3], 'Allice': [1, 2, 2, 1], 'WOPR': [5, 5, 1], 'Andy': [1, 1, 3, 6]}"
WOPR,5,5,"{'Allice': [1, 2, 2, 1], 'WOPR': [5, 5, 1], 'Andy': [1, 1, 3, 6], 'Hal': [6, 3]}"
Andy,1,6,"{'WOPR': [5, 5, 1], 'Andy': [1, 1, 3, 6], 'Hal': [6, 3], 'Allice': [1, 2, 2, 1]}"
Hal,LIAR,LIAR,"{'Allice': [1, 2, 2, 1], 'WOPR': [5, 5, 1], 'Andy': [1, 3, 6], 'Hal': [6, 3]}"
WOPR,6,1,"{'Allice': [6, 5, 4, 1], 'WOPR': [2, 6, 6], 'Andy': [4, 5, 6], 'Hal': [3, 4]}"
Andy,6,2,"{'WOPR': [2, 6, 6], 'Andy': [4, 5, 6], 'Hal': [3, 4], 'Allice': [6, 5, 4, 1]}"
Hal,3,3,"{'Andy': [4, 5, 6], 'Hal': [3, 4], 'Allice': [6, 5, 4, 1], 'WOPR': [2, 6, 6]}"
